CICLO;int;130 130 130 130 130 130 130 130 130 130 ...
CCAA;chr;"País Vasco" "País Vasco" "País Vasco" "País Vasco" ...
PROV;chr;"Álava" "Álava" "Álava" "Álava" ...
NIVEL;chr;"1" "1" "1" "1" ...
EDAD5;int;55 60 65 65 55 65 60 60 65 55 ...
SEXO;chr;"M" "V" "V" "M" ...
ECIV;chr;"Casado" "Casado" "Casado" "Casado" ...
REGNA;chr;"Álava" "Álava" "Ávila" "Cáceres" ...
NAC;chr;"Española" "Española" "Española" "Española" ...
EXREGNA;chr;NA NA NA NA ...
ANORE;int;NA NA NA NA NA NA NA NA NA NA ...
NFORMA;chr;"S1" "S1" "P2" "P2" ...
EDADEST;int;NA 14 12 12 18 12 15 17 11 14 ...
CURSR;chr;"No" "No" "No" "No" ...
NCURSR;chr;NA NA NA NA ...
CURSNR;chr;"No" "No" "No" "No" ...
NCURNR;chr;NA NA NA NA ...
HCURNR;int;NA NA NA NA NA NA NA NA NA NA ...
TRAREM;chr;"No" "No" "No" "No" ...
AYUDFA;chr;"No" "No" "No" "No" ...
AUSENT;chr;"No" "No" "No" "No" ...
RZNOTB;chr;NA NA NA NA ...
VINCUL;chr;NA NA NA NA ...
NUEVEM;chr;"3" "3" "3" "3" ...
OCUP;chr;NA NA NA NA ...
ACT;chr;NA NA NA NA ...
SITU;chr;NA NA NA NA ...
SP;chr;NA NA NA NA ...
DUCON1;chr;NA NA NA NA ...
DUCON2;chr;NA NA NA NA ...
DUCON3;chr;NA NA NA NA ...
TCONT;num;NA NA NA NA NA NA NA NA NA NA ...
DREN;int;NA NA NA NA NA NA NA NA NA NA ...
DCOM;int;NA NA NA NA NA NA NA NA NA NA ...
REGEST;chr;NA NA NA NA ...
PARCO1;chr;NA NA NA NA ...
PARCO2;chr;NA NA NA NA ...
HORASP;num;NA NA NA NA NA NA NA NA NA NA ...
HORASH;num;NA NA NA NA NA NA NA NA NA NA ...
HORASE;num;NA NA NA NA NA NA NA NA NA NA ...
EXTRA;chr;NA NA NA NA ...
EXTPAG;num;NA NA NA NA NA NA NA NA NA NA ...
EXTNPG;num;NA NA NA NA NA NA NA NA NA NA ...
RZDIFH;chr;NA NA NA NA ...
TRAPLU;chr;NA NA NA NA ...
OCUPLU;chr;NA NA NA NA ...
ACTPLU;chr;NA NA NA NA ...
SITPLU;chr;NA NA NA NA ...
HORPLU;num;NA NA NA NA NA NA NA NA NA NA ...
MASHOR;chr;NA NA NA NA ...
DISMAS;chr;NA NA NA NA ...
RZNDISH;chr;NA NA NA NA ...
HORDES;num;NA NA NA NA NA NA NA NA NA NA ...
BUSOTR;chr;NA NA NA NA ...
BUSCA;chr;"No" "No" "No" "No" ...
DESEA;chr;"No" "No" "No" "No" ...
FOBACT;chr;NA NA NA NA ...
NBUSCA;chr;"07" "07" "07" "08" ...
ASALA;chr;NA NA NA NA ...
EMBUS;chr;NA NA NA NA ...
ITBU;chr;NA NA NA NA ...
DISP;chr;"No" "No" "No" "No" ...
RZNDIS;chr;"4" "4" "4" "4" ...
EMPANT;chr;"Si" "Si" "Si" "Si" ...
DTANT;int;39 13 75 561 283 669 15 360 264 356 ...
OCUPA;chr;NA NA NA NA ...
ACTA;chr;NA NA NA NA ...
SITUA;chr;NA NA NA NA ...
OFEMP;chr;"3" "3" "3" "3" ...
SIDI;chr;"02 03" "02" "02" "03" ...
SIDAC1;int;0 0 0 0 0 0 0 0 0 0 ...
SIDAC2;int;0 0 0 0 0 0 0 0 0 0 ...
MUN;chr;"Mismo" "Mismo" "Mismo" "Mismo" ...
REPAIRE;chr;NA NA NA NA ...
AOI;chr;"09" "09" "09" "09" ...
CSE;chr;NA NA NA NA ...
FACTOREL;num;113 113 140 140 175 ...